employee_id,first_name,last_name,email,phone_number,hire_date,job_id,salary,commission_pct,manager_id,department_id
102,Lex,De Haan,LDEHAAN,515.123.4569,Wed Jan 13 1993 00:00:00 GMT-0400 (GMT-05:00),AD_VP,17000.00,,100,90
103,Alexander,Hunold,AHUNOLD,590.423.4567,Wed Jan 03 1990 00:00:00 GMT-0500 (hora de Ecuador),IT_PROG,9000.00,,102,60
104,Bruce,Ernst,BERNST,590.423.4568,Tue May 21 1991 00:00:00 GMT-0500 (hora de Ecuador),IT_PROG,6000.00,,103,60
105,David,Austin,DAUSTIN,590.423.4569,Wed Jun 25 1997 00:00:00 GMT-0500 (hora de Ecuador),IT_PROG,4800.00,,103,60
106,Valli,Pataballa,VPATABAL,590.423.4560,Thu Feb 05 1998 00:00:00 GMT-0500 (hora de Ecuador),IT_PROG,4800.00,,103,60
107,Diana,Lorentz,DLORENTZ,590.423.5567,Sun Feb 07 1999 00:00:00 GMT-0500 (hora de Ecuador),IT_PROG,4200.00,,103,60
108,Nancy,Greenberg,NGREENBE,515.124.4569,Wed Aug 17 1994 00:00:00 GMT-0500 (hora de Ecuador),FI_MGR,12000.00,,101,100
109,Daniel,Faviet,DFAVIET,515.124.4169,Tue Aug 16 1994 00:00:00 GMT-0500 (hora de Ecuador),FI_ACCOUNT,9000.00,,108,100
110,John,Chen,JCHEN,515.124.4269,Sun Sep 28 1997 00:00:00 GMT-0500 (hora de Ecuador),FI_ACCOUNT,8200.00,,108,100
111,Ismael,Sciarra,ISCIARRA,515.124.4369,Tue Sep 30 1997 00:00:00 GMT-0500 (hora de Ecuador),FI_ACCOUNT,7700.00,,108,100
112,Jose Manuel,Urman,JMURMAN,515.124.4469,Sat Mar 07 1998 00:00:00 GMT-0500 (hora de Ecuador),FI_ACCOUNT,7800.00,,108,100
113,Luis,Popp,LPOPP,515.124.4567,Tue Dec 07 1999 00:00:00 GMT-0500 (hora de Ecuador),FI_ACCOUNT,6900.00,,108,100
114,Den,Raphaely,DRAPHEAL,515.127.4561,Wed Dec 07 1994 00:00:00 GMT-0500 (hora de Ecuador),PU_MAN,11000.00,,100,30
115,Alexander,Khoo,AKHOO,515.127.4562,Thu May 18 1995 00:00:00 GMT-0500 (hora de Ecuador),PU_CLERK,3100.00,,114,30
116,Shelli,Baida,SBAIDA,515.127.4563,Wed Dec 24 1997 00:00:00 GMT-0500 (hora de Ecuador),PU_CLERK,2900.00,,114,30
117,Sigal,Tobias,STOBIAS,515.127.4564,Thu Jul 24 1997 00:00:00 GMT-0500 (hora de Ecuador),PU_CLERK,2800.00,,114,30
118,Guy,Himuro,GHIMURO,515.127.4565,Sun Nov 15 1998 00:00:00 GMT-0500 (hora de Ecuador),PU_CLERK,2600.00,,114,30
